Year,Orig_Value,Fore_Value
1999,1567,1711.55
2000,1593,1692.31
2001,1581,1673.3
2002,1627,1654.49
2003,1643,1635.9
2004,1743.7,1617.52
2005,1745.9,1599.34
2006,1775.8,1581.37
2007,1822.4,1563.6
2008,1667.5,1546.03
2009,1356.2,1528.65
2010,1488.5,1511.48
2011,1456.6,1494.49
2012,1426.7,1477.7
2013,1316.1,1461.09
2014,1321.7,1444.67
2015,1445.2,1428.44
2016,1433.5,1412.39
2017,1396.6,1396.51
2018,1405.5,1380.82
2019,1439.6,1365.3
2020,1271.8,1349.96
2021,,1334.79
2022,,1319.79
2023,,1304.96
2024,,1290.3
2025,,1275.8
2026,,1261.46
2027,,1247.28
2028,,1233.27
2029,,1219.41
2030,,1205.71
